['A1BG', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['A1CF', '1', '0', '0', '1', '2', '0', '2', '0.0272029670944346', '1\n']
['A2M', '2', '0', '0', '2', '0', '0', '0', '8.36643763246494e-05', '1\n']
['A2ML1', '1', '0', '0', '1', '96', '0', '96', '0.590209031628604', '1\n']
['A3GALT2', '1', '0', '0', '1', '5', '0', '5', '0.0536666061554807', '1\n']
['A4GNT', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AAAS', '1', '0', '0', '1', '14', '0', '14', '0.128819599937921', '1\n']
['AACS', '3', '0', '0', '3', '30', '0', '30', '0.00339781703056441', '1\n']
['AADAC', '0', '0', '0', '0', '0', '0', '0', '1', '1\n']
['AADACL2', '0', '0', '0', '0', '106', '0', '106', '1', '1\n']
['AADACL3', '0', '0', '0', '0', '12', '0', '12', '1', '1\n']
['AADACL4', '1', '0', '0', '1', '5', '0', '5', '0.0536666061554807', '1\n']
['AAED1', '1', '0', '0', '1', '61', '0', '61', '0.434546692688715', '1\n']
['AAGAB', '2', '0', '0', '2', '8', '0', '8', '0.00358581920946871', '1\n']
['AAMDC', '1', '0', '0', '1', '3', '0', '3', '0.036105324929763', '1\n']
['AAR2', '1', '0', '0', '1', '153', '0', '153', '0.757483137707457', '1\n']
['AARD', '5', '0', '0', '5', '246', '0', '246', '0.0822624620290652', '1\n']
['AARS2', '2', '0', '0', '2', '3', '0', '3', '0.000821464138581235', '1\n']
['AARSD1', '0', '0', '0', '0', '105', '0', '105', '1', '1\n']
['AASDH', '5', '0', '0', '5', '48', '0', '48', '0.000126804751291685', '1\n']
['AASDHPPT', '1', '0', '0', '1', '3', '0', '3', '0.036105324929763', '1\n']
['AASS', '2', '0', '0', '2', '1', '0', '1', '0.000249464731258956', '1\n']
['AATF', '2', '0', '0', '2', '80', '0', '80', '0.173052643443134', '1\n', 'ICGC_MB240']
['ABCA1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ABCA10', '11', '0', '0', '11', '749', '0', '749', '0.0936780544686421', '1\n']
['ABCA12', '1', '0', '0', '1', '6', '0', '6', '0.0623270096964126', '1\n']
['ABCA13', '11', '0', '0', '11', '462', '0', '462', '0.00475069277220934', '1\n']
['ABCA3', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ABCA4', '3', '0', '0', '3', '16', '0', '16', '0.000663700188766819', '1\n']
['ABCA5', '6', '0', '0', '6', '14', '0', '14', '2.01188034866607e-08', '1\n']
['ABCA6', '6', '0', '0', '6', '71', '0', '71', '7.89981036113956e-05', '1\n']
['ABCA7', '7', '0', '0', '7', '525', '0', '525', '0.217719746929432', '1\n']
['ABCA8', '7', '0', '0', '7', '278', '0', '278', '0.0167982631885597', '1\n']
['ABCA9', '5', '0', '0', '5', '513', '0', '513', '0.513737694675257', '1\n']
['ABCB10', '2', '0', '0', '2', '0', '0', '0', '8.36643763246494e-05', '1\n']
['ABCB11', '1', '0', '0', '1', '1', '0', '1', '0.0182184663067098', '1\n']
['ABCB4', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ABCB5', '3', '0', '0', '3', '410', '0', '410', '0.729604261314512', '1\n', 'ICGC_MB204', '168839']
['ABCB6', '3', '0', '0', '3', '110', '0', '110', '0.0857370316995624', '1\n']
['ABCB8', '1', '0', '0', '1', '14', '0', '14', '0.128819599937921', '1\n']
['ABCB9', '2', '0', '0', '2', '52', '0', '52', '0.0876949638255112', '1\n']
['ABCC1', '1', '0', '0', '1', '2', '0', '2', '0.0272029670944346', '1\n']
['ABCC10', '6', '0', '0', '6', '89', '0', '89', '0.000251980816848679', '1\n']
['ABCC11', '7', '0', '0', '7', '531', '0', '531', '0.225608631057371', '1\n']
['ABCC12', '11', '0', '0', '11', '407', '0', '407', '0.0018737087967438', '1\n']
['ABCC2', '6', '0', '0', '6', '308', '0', '308', '0.0705338092890097', '1\n', 'ICGC_MB204', 'ICGC_MB275']
['ABCC3', '3', '0', '0', '3', '193', '0', '193', '0.267362801985502', '1\n']
['ABCC4', '2', '0', '0', '2', '63', '0', '63', '0.119544156097931', '1\n']
['ABCC5', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ABCC6', '1', '0', '0', '1', '25', '0', '25', '0.212623487898758', '1\n']
['ABCC8', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n']
['ABCC9', '2', '0', '0', '2', '7', '0', '7', '0.00288613642849814', '1\n']
['ABCD4', '0', '0', '0', '0', '1', '0', '1', '1', '1\n']
['ABCF1', '0', '0', '0', '0', '6', '0', '6', '1', '1\n']
['ABCG1', '1', '0', '0', '1', '0', '0', '0', '0.009151065341517', '1\n', 'ICGC_MB204']
['ABCG2', '6', '0', '0', '6', '214', '0', '214', '0.0164419484504927', '1\n']
['ABCG5', '0', '0', '0', '0', '7', '0', '7', '1', '1\n']
['ABCG8', '1', '0', '0', '1', '238', '0', '238', '0.889133099308184', '1\n']
['ABHD1', '6', '0', '0', '6', '125', '0', '125', '0.00137386727742778', '1\n']
['ABHD11', '1', '0', '0', '1', '5', '0', '5', '0.0536666061554807', '1\n']
['ABHD12B', '2', '0', '0', '2', '3', '0', '3', '0.000821464138581235', '1\n']
['ABHD14A-ACY1', '1', '0', '0', '1', '8', '0', '8', '0.0794109924955475', '1\n']
['ABHD14B', '2', '0', '0', '2', '781', '0', '781', '0.993955841258576', '1\n']
['ABHD15', '1', '0', '0', '1', '7', '0', '7', '0.0709082307103203', '1\n']
['ABHD4', '3', '0', '0', '3', '172', '0', '172', '0.216456491028116', '1\n']
['ABI3', '3', '0', '0', '3', '3', '0', '3', '1.49724398477513e-05', '1\n']
