SampleID,#chrom1,start1,end1,chrom2,start2,end2,somaticity1,somaticity2,svtype,eventScore,eventSize,eventInversion,evidence1,clonalityRatio1,evidence2,clonalityRatio2,source1,source2,gene1,cancerGene1,nearestCodingGeneUpstream1,nearestCodingGeneUpstreamDistance1,nearestCancerGeneUpstream1,nearestCancerGeneUpstreamDistance1,nearestCodingGeneDownstream1,nearestCodingGeneDownstreamDistance1,nearestCancerGeneDownstream1,nearestCancerGeneDownstreamDistance1,gene2,cancerGene2,nearestCodingGeneUpstream2,nearestCodingGeneUpstreamDistance2,nearestCancerGeneUpstream2,nearestCancerGeneUpstreamDistance2,nearestCodingGeneDownstream2,nearestCodingGeneDownstreamDistance2,nearestCancerGeneDownstream2,nearestCancerGeneDownstreamDistance2,dbSUPERenhancer1,dbSUPERenhancer2,rescuedEnhancerHitCandidate,TADindices,affectedCodingGenesTADestimate,affectedCancerGenesTADestimate,directFusionCandidates,directFusionCandidatesBothCancer,indirectFusionCandidatesLeftCancerRightAny,indirectFusionCandidatesRightCancerLeftAny,indirectFusionCandidatesAny
ICGC_GBM56, 9, 100617337, 100617338, 9, 87315215, 87315216, SOMATIC(0/3261), SOMATIC(0/3261), DEL, 5, 13302122, NORMAL, 22, 0.393, 31, 0.449, 9:87315216|(1_0_21/23), |9:100617337(5_7_19/20), FOXE1_1, FOXE1, XPA, -157699, XPA, -157699, C9orf156, 49434, ANP32B, 128306, NTRK2_intron6, NTRK2, SLC28A3, -359544, RMI1, -696231, AGTPBP1, 846240, GAS1, 2244064, ., SE_08295_SE_07188, FALSE, 1719_1720_1732_1733, FOXE1_HEMGN_C9orf156_ZNF510_SLC28A3_XPA_TDRD7_NANS_AGTPBP1_HIATL2_NAA35_NUTM2G_TBC1D2_GABBR2_NCBP1_ISCA1_TSTD2_TMOD1_ZCCHC6_NTRK2_ANP32B_ZNF782_C9orf153_GOLM1_TRIM14_CTSV_CCDC180_CORO2A, FOXE1_GABBR2_CTSV_XPA_TDRD7_NTRK2_ANP32B, FOXE1-NTRK2, FOXE1-NTRK2, FOXE1-NTRK2, FOXE1-NTRK2, FOXE1-NTRK2
ICGC_GBM56, 11, 8710020, 8710021, 11, 8905668, 8905669, SOMATIC(0/3261), SOMATIC(0/3261), DEL, 5, 195648, NORMAL, 16, 0.400, 15, 0.294, |11:8905669(2_4_10/10), 11:8710021|(6_2_7/7), RPL27A_3, ., TRIM66, -16608, LMO1, -419758, ST5, 4878, SCUBE2, 331051, ST5_intron3, ., RPL27A, -169363, LMO1, -615406, AKIP1, 27018, SCUBE2, 135403, SE_48839_SE_47399_SE_47813_SE_41174_SE_08525, ., FALSE, 1925_1926_1927_1928, RRP8_OR2D2_APBB1_NLRP14_ZNF215_ST5_MRPL17_OR10A3_AKIP1_OR56A1_RIC3_OR6A2_CNGA4_OR52W1_OR2AG2_OR10A5_SYT9_DNHD1_OR2D3_CCKBR_TMEM41B_ZNF214_OR52B2_DCHS1_TMEM9B_OR5P2_C11orf16_NLRP10_SCUBE2_RBMXL2_OR52B1P_OR52L1_TUB_ZNF143_AC132192.1_OR56A4_SMPD1_IPO7_WEE1_LMO1_OR56B3P_PPFIBP2_C11orf42_ASCL3_OR10A6_OR10A4_CYB5R2_STK33_HPX_EIF3F_OR2AG1_ILK_FAM160A2_OR5P3_ARFIP2_TRIM3_PRKCDBP_TIMM10B_OLFML1_TAF10_TPP1_RPL27A_TRIM66_NRIP3_DENND5A_OR56B4_OR10A2, RRP8_APBB1_DNHD1_CCKBR_ILK_DCHS1_CNGA4_TAF10_SCUBE2_WEE1_LMO1, RPL27A-ST5, ., ~LMO1/~SCUBE2-ST5, RPL27A-~LMO1/~SCUBE2, RPL27A-ST5
ICGC_GBM56, 12, 118502280, 118502281, 12, 118501247, 118501248, SOMATIC(0/3261), SOMATIC(9/3261), INV, 3, 1033, INV, 9, 0.130, 4, 0.095, 12:118501248_INV|(1_2_6/6), _, VSIG10_18, ., WSB2, -2046, WSB2, -2046, PEBP1, 71383, TAOK3, 85326, ., ., WSB2, -1013, WSB2, -1013, VSIG10, 151, TAOK3, 86359, SE_23581_SE_28409_SE_51054_SE_00743_SE_32249_SE_29400_SE_53256, SE_00743_SE_53256_SE_51054_SE_23581_SE_28409_SE_32249_SE_29400, TRUE, 2205, SUDS3_TAOK3_WSB2_VSIG10_RFC5_PEBP1_KSR2, SUDS3_RFC5_WSB2_TAOK3_KSR2, VSIG10-(TRUNC), ., ~WSB2/~TAOK3-~WSB2/~VSIG10, VSIG10-~WSB2/~TAOK3, VSIG10-~WSB2/~VSIG10
ICGC_GBM56, 12, 124215485, 124215486, 12, 125534118, 125534119, SOMATIC(0/3261), SOMATIC(0/3261), INV, 3, 1318633, INV, 10, 0.200, 9, 0.184, 12:125533975-125534045_INV|(4_1_5/9), |12:124215486-124215609_INV(4_0_5/12), ATP6V0A2_7, ., TCTN2, -22538, GTF2H3, -68333, DNAH10, 31557, NCOR2, 593476, ., ., BRI3BP, -18342, DHX37, -60451, AACS, 15807, TMEM132B, 137264, SE_13730, ., FALSE, 2209_2210_2211_2212, ARL6IP4_RILPL2_TMEM132C_ABCB9_GTF2H3_EIF2B1_UBC_TCTN2_B3GNT4_OGFOD2_DIABLO_MPHOSPH9_ZCCHC8_SCARB1_TMED2_CCDC62_RILPL1_VPS33A_HCAR2_SBNO1_RSRC2_DDX55_TMEM132B_HCAR3_HCAR1_PITPNM2_SETD8_DNAH10OS_VPS37B_DENR_KNTC1_FAM101A_DHX37_CCDC92_LRRC43_C12orf65_RP11-512M8.5_ZNF664_CLIP1_ATP6V0A2_DNAH10_BRI3BP_SNRNP35_HIP1R_AACS_NCOR2_CDK2AP1, SETD8_DIABLO_CLIP1_ZCCHC8_GTF2H3_UBC_NCOR2_DHX37_TMEM132B, ATP6V0A2-(TRUNC), ., ~GTF2H3/~NCOR2-~BRI3BP/~AACS, ATP6V0A2-~DHX37/~TMEM132B, ATP6V0A2-~BRI3BP/~AACS
ICGC_GBM56, 12, 124215663, 124215664, 12, 125534118, 125534119, SOMATIC(0/3261), SOMATIC(0/3261), INV, 3, 1318455, INV, 9, 0.167, 9, 0.184, |12:125533849-125534004_INV(2_1_6/12), |12:124215486-124215609_INV(4_0_5/12), ATP6V0A2_7, ., TCTN2, -22716, GTF2H3, -68511, DNAH10, 31379, NCOR2, 593298, ., ., BRI3BP, -18342, DHX37, -60451, AACS, 15807, TMEM132B, 137264, SE_13730, ., FALSE, 2209_2210_2211_2212, ARL6IP4_RILPL2_TMEM132C_ABCB9_GTF2H3_EIF2B1_UBC_TCTN2_B3GNT4_OGFOD2_DIABLO_MPHOSPH9_ZCCHC8_SCARB1_TMED2_CCDC62_RILPL1_VPS33A_HCAR2_SBNO1_RSRC2_DDX55_TMEM132B_HCAR3_HCAR1_PITPNM2_SETD8_DNAH10OS_VPS37B_DENR_KNTC1_FAM101A_DHX37_CCDC92_LRRC43_C12orf65_RP11-512M8.5_ZNF664_CLIP1_ATP6V0A2_DNAH10_BRI3BP_SNRNP35_HIP1R_AACS_NCOR2_CDK2AP1, SETD8_DIABLO_CLIP1_ZCCHC8_GTF2H3_UBC_NCOR2_DHX37_TMEM132B, ATP6V0A2-(TRUNC), ., ~GTF2H3/~NCOR2-~BRI3BP/~AACS, ATP6V0A2-~DHX37/~TMEM132B, ATP6V0A2-~BRI3BP/~AACS
ICGC_GBM56, 12, 124215663, 124215664, 12, 125548985, 125548986, SOMATIC(0/3261), SOMATIC(0/3261), TRA, 5, 1333322, NORMAL, 9, 0.167, 9, 0.176, |12:125548612-125548888(3_1_5/12), |12:124215486(2_3_4/11), ATP6V0A2_7, ., TCTN2, -22716, GTF2H3, -68511, DNAH10, 31379, NCOR2, 593298, ., ., BRI3BP, -33209, DHX37, -75318, AACS, 940, TMEM132B, 122397, SE_13730, ., FALSE, 2209_2210_2211_2212, ARL6IP4_RILPL2_TMEM132C_ABCB9_GTF2H3_EIF2B1_UBC_TCTN2_B3GNT4_OGFOD2_DIABLO_MPHOSPH9_ZCCHC8_SCARB1_TMED2_CCDC62_RILPL1_VPS33A_HCAR2_SBNO1_RSRC2_DDX55_TMEM132B_HCAR3_HCAR1_PITPNM2_SETD8_DNAH10OS_VPS37B_DENR_KNTC1_FAM101A_DHX37_CCDC92_LRRC43_C12orf65_RP11-512M8.5_ZNF664_CLIP1_ATP6V0A2_DNAH10_BRI3BP_SNRNP35_HIP1R_AACS_NCOR2_CDK2AP1, SETD8_DIABLO_CLIP1_ZCCHC8_GTF2H3_UBC_NCOR2_DHX37_TMEM132B, ATP6V0A2-(TRUNC), ., ~GTF2H3/~NCOR2-~BRI3BP/~AACS, ATP6V0A2-~DHX37/~TMEM132B, ATP6V0A2-~BRI3BP/~AACS
ICGC_GBM56, 9, 100617337, 100617338, 9, 87315215, 87315216, SOMATIC(0/3261), SOMATIC(0/3261), DEL, 5, 13302122, NORMAL, 22, 0.393, 31, 0.449, 9:87315216|(1_0_21/23), |9:100617337(5_7_19/20), FOXE1_1, FOXE1, XPA, -157699, XPA, -157699, C9orf156, 49434, ANP32B, 128306, NTRK2_intron6, NTRK2, SLC28A3, -359544, RMI1, -696231, AGTPBP1, 846240, GAS1, 2244064, ., SE_08295_SE_07188, FALSE, 1719_1720_1732_1733, FOXE1_HEMGN_C9orf156_ZNF510_SLC28A3_XPA_TDRD7_NANS_AGTPBP1_HIATL2_NAA35_NUTM2G_TBC1D2_GABBR2_NCBP1_ISCA1_TSTD2_TMOD1_ZCCHC6_NTRK2_ANP32B_ZNF782_C9orf153_GOLM1_TRIM14_CTSV_CCDC180_CORO2A, FOXE1_GABBR2_CTSV_XPA_TDRD7_NTRK2_ANP32B, FOXE1-NTRK2, FOXE1-NTRK2, FOXE1-NTRK2, FOXE1-NTRK2, FOXE1-NTRK2
ICGC_GBM56, 11, 8710020, 8710021, 11, 8905668, 8905669, SOMATIC(0/3261), SOMATIC(0/3261), DEL, 5, 195648, NORMAL, 16, 0.400, 15, 0.294, |11:8905669(2_4_10/10), 11:8710021|(6_2_7/7), RPL27A_3, ., TRIM66, -16608, LMO1, -419758, ST5, 4878, SCUBE2, 331051, ST5_intron3, ., RPL27A, -169363, LMO1, -615406, AKIP1, 27018, SCUBE2, 135403, SE_48839_SE_47399_SE_47813_SE_41174_SE_08525, ., FALSE, 1925_1926_1927_1928, RRP8_OR2D2_APBB1_NLRP14_ZNF215_ST5_MRPL17_OR10A3_AKIP1_OR56A1_RIC3_OR6A2_CNGA4_OR52W1_OR2AG2_OR10A5_SYT9_DNHD1_OR2D3_CCKBR_TMEM41B_ZNF214_OR52B2_DCHS1_TMEM9B_OR5P2_C11orf16_NLRP10_SCUBE2_RBMXL2_OR52B1P_OR52L1_TUB_ZNF143_AC132192.1_OR56A4_SMPD1_IPO7_WEE1_LMO1_OR56B3P_PPFIBP2_C11orf42_ASCL3_OR10A6_OR10A4_CYB5R2_STK33_HPX_EIF3F_OR2AG1_ILK_FAM160A2_OR5P3_ARFIP2_TRIM3_PRKCDBP_TIMM10B_OLFML1_TAF10_TPP1_RPL27A_TRIM66_NRIP3_DENND5A_OR56B4_OR10A2, RRP8_APBB1_DNHD1_CCKBR_ILK_DCHS1_CNGA4_TAF10_SCUBE2_WEE1_LMO1, RPL27A-ST5, ., ~LMO1/~SCUBE2-ST5, RPL27A-~LMO1/~SCUBE2, RPL27A-ST5
ICGC_GBM56, 12, 118502280, 118502281, 12, 118501247, 118501248, SOMATIC(0/3261), SOMATIC(9/3261), INV, 3, 1033, INV, 9, 0.130, 4, 0.095, 12:118501248_INV|(1_2_6/6), _, VSIG10_18, ., WSB2, -2046, WSB2, -2046, PEBP1, 71383, TAOK3, 85326, ., ., WSB2, -1013, WSB2, -1013, VSIG10, 151, TAOK3, 86359, SE_23581_SE_28409_SE_51054_SE_00743_SE_32249_SE_29400_SE_53256, SE_00743_SE_53256_SE_51054_SE_23581_SE_28409_SE_32249_SE_29400, TRUE, 2205, SUDS3_TAOK3_WSB2_VSIG10_RFC5_PEBP1_KSR2, SUDS3_RFC5_WSB2_TAOK3_KSR2, VSIG10-(TRUNC), ., ~WSB2/~TAOK3-~WSB2/~VSIG10, VSIG10-~WSB2/~TAOK3, VSIG10-~WSB2/~VSIG10
ICGC_GBM56, 12, 124215485, 124215486, 12, 125534118, 125534119, SOMATIC(0/3261), SOMATIC(0/3261), INV, 3, 1318633, INV, 10, 0.200, 9, 0.184, 12:125533975-125534045_INV|(4_1_5/9), |12:124215486-124215609_INV(4_0_5/12), ATP6V0A2_7, ., TCTN2, -22538, GTF2H3, -68333, DNAH10, 31557, NCOR2, 593476, ., ., BRI3BP, -18342, DHX37, -60451, AACS, 15807, TMEM132B, 137264, SE_13730, ., FALSE, 2209_2210_2211_2212, ARL6IP4_RILPL2_TMEM132C_ABCB9_GTF2H3_EIF2B1_UBC_TCTN2_B3GNT4_OGFOD2_DIABLO_MPHOSPH9_ZCCHC8_SCARB1_TMED2_CCDC62_RILPL1_VPS33A_HCAR2_SBNO1_RSRC2_DDX55_TMEM132B_HCAR3_HCAR1_PITPNM2_SETD8_DNAH10OS_VPS37B_DENR_KNTC1_FAM101A_DHX37_CCDC92_LRRC43_C12orf65_RP11-512M8.5_ZNF664_CLIP1_ATP6V0A2_DNAH10_BRI3BP_SNRNP35_HIP1R_AACS_NCOR2_CDK2AP1, SETD8_DIABLO_CLIP1_ZCCHC8_GTF2H3_UBC_NCOR2_DHX37_TMEM132B, ATP6V0A2-(TRUNC), ., ~GTF2H3/~NCOR2-~BRI3BP/~AACS, ATP6V0A2-~DHX37/~TMEM132B, ATP6V0A2-~BRI3BP/~AACS
